step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
1,0.0667,0.000018,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
2,0.1333,0.000143,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
3,0.2000,0.000484,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
4,0.2667,0.001142,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
5,0.3333,0.002202,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
6,0.4000,0.003712,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
7,0.4667,0.005677,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
8,0.5333,0.008043,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
9,0.6000,0.010683,-1.400000,1.200000,0.000000,0.000000,0.500000,0.004270,-1.400391,1.217230,0.004241,0.001449,0.498367
10,0.6667,0.013395,-1.400000,1.200000,0.000000,0.000000,0.500000,0.012809,-1.400391,1.217230,0.004241,0.001449,0.498367
11,0.7333,0.015899,-1.400000,1.200000,0.000000,0.000000,0.500000,0.014232,-1.400391,1.217230,0.004241,0.001449,0.498367
12,0.8000,0.017844,-1.400000,1.200000,0.000000,0.000000,0.500000,0.014232,-1.400391,1.217230,0.004241,0.001449,0.498367
13,0.8667,0.018831,-1.400000,1.200000,0.000000,0.000000,0.500000,0.014232,-1.400391,1.217230,0.004241,0.001449,0.498367
14,0.9333,0.018439,-1.400000,1.200000,0.000000,0.000000,0.500000,0.014232,-1.400391,1.217230,0.004241,0.001449,0.498367
15,1.0000,0.016272,-1.400000,1.200000,0.000000,0.000000,0.500000,0.014232,-1.400391,1.217230,0.004241,0.001449,0.498367
16,1.0667,0.012008,-1.400000,1.200000,0.000000,0.000000,0.500000,0.014232,-1.400391,1.217230,0.004241,0.001449,0.498367
17,1.1333,0.005460,-1.400000,1.200000,0.000000,0.000000,0.500000,0.011385,-1.400391,1.217230,0.004241,0.001449,0.498367
18,1.2000,-0.003363,-1.400000,1.200000,0.000000,0.000000,0.500000,0.002846,-1.400391,1.217230,0.004241,0.001449,0.498367
19,1.2667,-0.014200,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.005693,-1.400391,1.217230,0.004241,0.001449,0.498367
20,1.3333,-0.026496,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.019924,-1.400391,1.217230,0.004241,0.001449,0.498367
21,1.4000,-0.039389,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.028463,-1.400391,1.217230,0.004241,0.001449,0.498367
22,1.4667,-0.051727,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.042695,-1.400391,1.217230,0.004241,0.001449,0.498367
23,1.5333,-0.062128,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.055504,-1.400391,1.217230,0.004241,0.001449,0.498367
24,1.6000,-0.069093,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.059773,-1.400391,1.217230,0.004241,0.001449,0.498367
25,1.6667,-0.071157,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.069735,-1.400391,1.217230,0.004241,0.001449,0.498367
26,1.7333,-0.067085,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.074005,-1.400391,1.217230,0.004241,0.001449,0.498367
27,1.8000,-0.056084,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.061196,-1.400391,1.217230,0.004241,0.001449,0.498367
28,1.8667,-0.038014,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.052657,-1.400391,1.217230,0.004241,0.001449,0.498367
29,1.9333,-0.013566,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.034156,-1.400391,1.217230,0.004241,0.001449,0.498367
30,2.0000,0.015643,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.005693,-1.400391,1.217230,0.004241,0.001449,0.498367
31,2.0667,0.047070,-1.400000,1.200000,0.000000,0.000000,0.500000,0.014232,-1.400391,1.217230,0.004241,0.001449,0.498367
32,2.1333,0.077390,-1.400000,1.200000,0.000000,0.000000,0.500000,0.055504,-1.400391,1.217230,0.004241,0.001449,0.498367
33,2.2000,0.102791,-1.400000,1.200000,0.000000,0.000000,0.500000,0.075428,-1.400391,1.217230,0.004241,0.001449,0.498367
34,2.2667,0.119408,-1.400000,1.200000,0.000000,0.000000,0.500000,0.111007,-1.400391,1.217230,0.004241,-0.001449,0.498367
35,2.3333,0.123873,-1.400000,1.200000,0.000000,0.000000,0.500000,0.113854,-1.400391,1.217230,0.004241,0.001449,0.498367
