step,t_s,target_shoulder_pan,target_shoulder_lift,target_elbow_flex,target_wrist_flex,target_wrist_roll,target_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0,0.0000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
1,0.0667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
2,0.1333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
3,0.2000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
4,0.2667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
5,0.3333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
6,0.4000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
7,0.4667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
8,0.5333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
9,0.6000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
10,0.6667,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
11,0.7333,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
12,0.8000,0.000000,-1.400000,1.200000,0.000000,0.000000,0.500000,-0.014232,-1.397443,1.204950,-0.001414,-0.002925,0.502428
